metric,value
format,MoonSimRockfieldAnalysis
source_crater_figure.source_crater_counts.17,1
source_crater_figure.source_crater_counts.50,76
source_crater_figure.source_crater_counts.61,1
source_crater_figure.source_crater_counts.76,2
source_crater_figure.source_crater_counts.82,2
source_crater_figure.source_crater_counts.87,2
source_crater_figure.source_crater_counts.123,1
source_crater_figure.source_crater_counts.145,2
source_crater_figure.source_crater_counts.151,2
source_crater_figure.source_crater_counts.158,2
source_crater_figure.source_crater_counts.182,2
source_crater_figure.source_crater_counts.204,5
source_crater_figure.source_crater_counts.233,3
source_crater_figure.source_crater_counts.241,2
source_crater_figure.source_crater_counts.253,3
source_crater_figure.source_crater_counts.254,2
source_crater_figure.source_crater_counts.255,2
source_crater_figure.source_crater_counts.267,3
source_crater_figure.source_crater_counts.273,2
source_crater_figure.source_crater_counts.275,6
source_crater_figure.source_crater_counts.277,3
source_crater_figure.source_crater_counts.285,5
source_crater_figure.source_crater_counts.286,2
source_crater_figure.source_crater_counts.290,13
source_crater_figure.source_crater_counts.292,2
source_crater_figure.source_crater_counts.304,2
source_crater_figure.source_crater_counts.327,4
source_crater_figure.source_crater_counts.340,3
source_crater_figure.source_crater_counts.359,7
source_crater_figure.source_crater_counts.360,4
source_crater_figure.source_crater_counts.369,73
source_crater_figure.source_crater_counts.372,4
source_crater_figure.source_crater_counts.378,9
source_crater_figure.source_crater_counts.386,3
source_crater_figure.source_crater_counts.396,12
source_crater_figure.source_crater_counts.400,4
source_crater_figure.source_crater_counts.409,4
source_crater_figure.source_crater_counts.414,6
source_crater_figure.source_crater_counts.442,493
source_crater_figure.source_crater_counts.452,4
source_crater_figure.source_crater_counts.467,10
source_crater_figure.source_crater_counts.468,8
source_crater_figure.source_crater_counts.472,15
source_crater_figure.source_crater_counts.485,223
source_crater_figure.source_crater_counts.501,1482
source_crater_figure.source_crater_counts.505,18
source_crater_figure.source_crater_counts.511,12
source_crater_figure.source_crater_counts.522,28
source_crater_figure.source_crater_counts.539,3037
source_crater_figure.source_crater_counts.540,7
source_crater_figure.source_crater_counts.562,7
source_crater_figure.source_crater_counts.571,871
source_crater_figure.source_crater_counts.576,869
source_crater_figure.source_crater_counts.599,11
source_crater_figure.source_crater_counts.601,6
source_crater_figure.source_crater_counts.603,51
source_crater_figure.source_crater_counts.635,7
source_crater_figure.source_crater_counts.638,6
source_crater_figure.source_crater_counts.657,6
source_crater_figure.source_crater_counts.661,34
source_crater_figure.source_crater_counts.664,830
source_crater_figure.source_crater_counts.670,12
source_crater_figure.source_crater_counts.685,22
source_crater_figure.source_crater_counts.691,22
source_crater_figure.source_crater_counts.697,7
source_crater_figure.source_crater_counts.698,73
source_crater_figure.source_crater_counts.711,9
source_crater_figure.source_crater_counts.722,6
source_crater_figure.source_crater_counts.764,15
source_crater_figure.source_crater_counts.767,12
source_crater_figure.source_crater_counts.781,8
source_crater_figure.source_crater_counts.783,12
source_crater_figure.source_crater_counts.784,10
source_crater_figure.source_crater_counts.787,13
source_crater_figure.source_crater_counts.798,8
source_crater_figure.source_crater_counts.820,14
source_crater_figure.source_crater_counts.826,11
source_crater_figure.source_crater_counts.834,18
source_crater_figure.source_crater_counts.841,18
source_crater_figure.source_crater_counts.857,2616
source_crater_figure.source_crater_counts.862,21
source_crater_figure.source_crater_counts.869,48
source_crater_figure.source_crater_counts.877,11
source_crater_figure.source_crater_counts.894,1076
source_crater_figure.source_crater_counts.914,9
source_crater_figure.source_crater_counts.919,32
source_crater_figure.source_crater_counts.927,10
source_crater_figure.source_crater_counts.934,39
source_crater_figure.source_crater_counts.939,11
source_crater_figure.source_crater_counts.950,10
source_crater_figure.source_crater_counts.961,42
source_crater_figure.source_crater_counts.965,17
