metric,value
format,MoonSimRockfieldAnalysis
rocks.owned_rocks_by_source_crater.294,1
rocks.owned_rocks_by_source_crater.301,2
rocks.owned_rocks_by_source_crater.302,2
rocks.owned_rocks_by_source_crater.303,1
rocks.owned_rocks_by_source_crater.305,2
rocks.owned_rocks_by_source_crater.307,2
rocks.owned_rocks_by_source_crater.309,1
rocks.owned_rocks_by_source_crater.312,1
rocks.owned_rocks_by_source_crater.313,14
rocks.owned_rocks_by_source_crater.322,2
rocks.owned_rocks_by_source_crater.325,4
rocks.owned_rocks_by_source_crater.328,9
rocks.owned_rocks_by_source_crater.329,1
rocks.owned_rocks_by_source_crater.330,1
rocks.owned_rocks_by_source_crater.331,3
rocks.owned_rocks_by_source_crater.333,2
rocks.owned_rocks_by_source_crater.334,3
rocks.owned_rocks_by_source_crater.335,3
rocks.owned_rocks_by_source_crater.340,2
rocks.owned_rocks_by_source_crater.341,1
rocks.owned_rocks_by_source_crater.342,6
rocks.owned_rocks_by_source_crater.347,2
rocks.owned_rocks_by_source_crater.348,1
rocks.owned_rocks_by_source_crater.349,2
rocks.owned_rocks_by_source_crater.350,2
rocks.owned_rocks_by_source_crater.351,21
rocks.owned_rocks_by_source_crater.352,20
rocks.owned_rocks_by_source_crater.354,1
rocks.owned_rocks_by_source_crater.355,5
rocks.owned_rocks_by_source_crater.356,1
rocks.owned_rocks_by_source_crater.360,1
rocks.owned_rocks_by_source_crater.361,2
rocks.owned_rocks_by_source_crater.362,1
rocks.owned_rocks_by_source_crater.366,1
rocks.owned_rocks_by_source_crater.369,1
rocks.owned_rocks_by_source_crater.370,2
rocks.owned_rocks_by_source_crater.371,1
rocks.owned_rocks_by_source_crater.373,1
rocks.owned_rocks_by_source_crater.375,19
rocks.owned_rocks_by_source_crater.376,4
rocks.owned_rocks_by_source_crater.377,2
rocks.owned_rocks_by_source_crater.379,2
rocks.owned_rocks_by_source_crater.384,2
rocks.owned_rocks_by_source_crater.386,5
rocks.owned_rocks_by_source_crater.387,4
rocks.owned_rocks_by_source_crater.391,2
rocks.owned_rocks_by_source_crater.392,1
rocks.owned_rocks_by_source_crater.394,2
rocks.owned_rocks_by_source_crater.395,3
rocks.owned_rocks_by_source_crater.397,1
rocks.owned_rocks_by_source_crater.398,2
rocks.owned_rocks_by_source_crater.400,2
rocks.owned_rocks_by_source_crater.401,1
rocks.owned_rocks_by_source_crater.402,2
rocks.owned_rocks_by_source_crater.405,6
rocks.owned_rocks_by_source_crater.409,5
