instance_id,x_m,y_m,diameter_m,size_class,material_type,source_type,crater_zone,analysis_crater_zone,dominant_crater_index,normalized_crater_radius,analysis_normalized_crater_radius,distance_to_dominant_crater_center_m,local_slope_deg,local_density_per_m2,acceptance_probability,clump_id,mesh_name,source_file,source_files,world_x_cm,world_y_cm,world_z_cm
30,121.36214839766909,209.03150226730574,0.26429551901761994,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,24,5.099365726476676,5.099365726476676,19.943962104871755,0.21660386020116276,0.006354314429724339,1.0,16,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
31,123.3582598379621,212.68357360095797,0.2616274365939283,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,24,4.0547604060276345,4.0547604060276345,15.85844048452355,0.21660386020116276,0.006354314429724339,1.0,16,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
32,-94.204408450109,84.18075896202738,0.2600293480666507,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,25,2.2958250038797,2.2958250038797,4.070818326682415,0.13708458102606288,0.006368252013774852,1.0,17,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
33,-179.14705131004638,230.65339756948578,0.2654438817720221,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,28,2.032136999618146,2.032136999618146,3.7814444886743517,0.1644283132043299,0.006405103634058468,1.0,18,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
34,-115.3061044057232,-9.880276403285276,0.266060583596816,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,29,3.495721626418703,3.495721626418703,5.986730623209611,0.09510245670487136,0.0064104011466540115,1.0,19,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
35,-150.7539174774765,-244.36801493496557,0.26350791879922064,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,32,2.699552705067136,2.699552705067136,4.104845868555403,0.0964417671970126,0.00644927634658063,1.0,20,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
36,203.01289791428104,1.269657924937745,0.2667521269050742,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,35,2.484266254820523,2.484266254820523,4.279695138665464,0.12200855787041033,0.006505833116492102,1.0,21,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
37,154.32213487971737,159.30730240672855,0.263907362155228,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,36,6.965099747551393,6.965099747551393,10.715424812707417,0.08583871695048025,0.006510208127615889,1.0,22,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
38,-28.207637364494552,-157.45882448844873,0.27086981687626666,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,38,3.817978674768071,3.817978674768071,7.974421648631834,0.11667070708453053,0.006534309806536254,1.0,23,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
39,-22.950879153435448,-153.48842266005875,0.26281000550990885,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,38,1.2542159650254907,1.2542159650254907,2.6196183361779792,0.2739859336065148,0.006534309806536254,1.0,23,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
40,191.10177141290742,0.30589209750121515,0.267482473108716,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,39,1.6793638937799147,1.6793638937799147,2.5589468906914865,0.16161991218418617,0.0065360423524329445,1.0,24,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
41,219.11764856681333,232.19138104548674,0.2694091205191604,Small,MixedBreccia,crater_ejecta_clump,DistalEjecta,DistalEjecta,40,4.846883376371808,4.846883376371808,8.939500403260388,0.10303668679151863,0.006536507453617299,1.0,25,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
42,244.24288999574495,-221.27756716631256,0.27135025386524025,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,41,1.7794710989981088,1.7794710989981088,6.138232985114035,0.3480725299588322,0.004359862344532495,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
43,243.59637815637228,-223.88088154832266,0.2697640801060378,Small,MixedBreccia,crater_ejecta_clump,Rim,Rim,41,1.117005543305265,1.117005543305265,3.85307762195855,1.1564111397164767,0.006539793516798743,1.0,26,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
44,241.3279087224198,-230.29111932626174,0.320511515185025,Medium,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,41,1.2408620959271863,1.2408620959271863,4.280317141136151,0.45564562945961523,0.006539793516798743,1.0,26,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
