metric,value
format,MoonSimRockfieldAnalysis
rocks.owned_rocks_by_source_crater.499,1
rocks.owned_rocks_by_source_crater.501,1
rocks.owned_rocks_by_source_crater.504,1
rocks.owned_rocks_by_source_crater.505,35
rocks.owned_rocks_by_source_crater.506,1
rocks.owned_rocks_by_source_crater.507,11
rocks.owned_rocks_by_source_crater.508,1
rocks.owned_rocks_by_source_crater.509,1
rocks.owned_rocks_by_source_crater.510,1
rocks.owned_rocks_by_source_crater.511,1
rocks.owned_rocks_by_source_crater.512,1
rocks.owned_rocks_by_source_crater.513,1
rocks.owned_rocks_by_source_crater.516,1
rocks.owned_rocks_by_source_crater.517,18
rocks.owned_rocks_by_source_crater.518,2
rocks.owned_rocks_by_source_crater.519,1
rocks.owned_rocks_by_source_crater.520,1
rocks.owned_rocks_by_source_crater.523,1
rocks.owned_rocks_by_source_crater.525,1
rocks.owned_rocks_by_source_crater.526,1
rocks.owned_rocks_by_source_crater.527,1
rocks.owned_rocks_by_source_crater.529,1
rocks.owned_rocks_by_source_crater.532,1
rocks.owned_rocks_by_source_crater.533,3
rocks.owned_rocks_by_source_crater.535,1
rocks.owned_rocks_by_source_crater.536,1
rocks.owned_rocks_by_source_crater.537,1
rocks.owned_rocks_by_source_crater.538,1
rocks.owned_rocks_by_source_crater.539,1
rocks.owned_rocks_by_source_crater.540,3
rocks.owned_rocks_by_source_crater.541,1
rocks.owned_rocks_by_source_crater.542,1
rocks.owned_rocks_by_source_crater.547,289
rocks.owned_rocks_by_source_crater.548,1
rocks.owned_rocks_by_source_crater.549,5
rocks.owned_rocks_by_source_crater.551,1
rocks.owned_rocks_by_source_crater.552,1
rocks.owned_rocks_by_source_crater.553,1
rocks.owned_rocks_by_source_crater.554,5
rocks.owned_rocks_by_source_crater.555,4
rocks.owned_rocks_by_source_crater.558,1
rocks.owned_rocks_by_source_crater.559,3
rocks.owned_rocks_by_source_crater.560,1
rocks.owned_rocks_by_source_crater.561,5
rocks.owned_rocks_by_source_crater.562,6
rocks.owned_rocks_by_source_crater.563,1
rocks.owned_rocks_by_source_crater.565,12
rocks.owned_rocks_by_source_crater.566,2
rocks.owned_rocks_by_source_crater.568,1
rocks.owned_rocks_by_source_crater.569,2
rocks.owned_rocks_by_source_crater.570,18
rocks.owned_rocks_by_source_crater.571,1
rocks.owned_rocks_by_source_crater.572,1
rocks.owned_rocks_by_source_crater.573,4
rocks.owned_rocks_by_source_crater.574,1
rocks.owned_rocks_by_source_crater.575,1
rocks.owned_rocks_by_source_crater.577,15
rocks.owned_rocks_by_source_crater.578,1
rocks.owned_rocks_by_source_crater.580,1
rocks.owned_rocks_by_source_crater.582,1
rocks.owned_rocks_by_source_crater.585,1
rocks.owned_rocks_by_source_crater.587,1
rocks.owned_rocks_by_source_crater.588,2
rocks.owned_rocks_by_source_crater.589,1
rocks.owned_rocks_by_source_crater.590,7
rocks.owned_rocks_by_source_crater.591,1
rocks.large_rock_threshold_m,2.0
rocks.large_rock_count,0
spatial.nearest_neighbor_distance_m.min,0.0007740187675485974
spatial.nearest_neighbor_distance_m.max,22.13638789942575
