instance_id,x_m,y_m,diameter_m,size_class,material_type,source_type,crater_zone,analysis_crater_zone,dominant_crater_index,normalized_crater_radius,analysis_normalized_crater_radius,distance_to_dominant_crater_center_m,local_slope_deg,local_density_per_m2,acceptance_probability,clump_id,mesh_name,source_file,source_files,world_x_cm,world_y_cm,world_z_cm
34,248.78606489654777,50.322240416329635,0.35682469440968173,Medium,MixedBreccia,crater_ejecta_single,Rim,Rim,16,1.0874336697636449,1.0874336697636449,37.81975991210387,6.407501601095757,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
35,243.40238804756686,5.918550408277188,0.42349163492791075,Medium,MixedBreccia,crater_ejecta_single,Rim,Rim,16,0.8789676139559106,0.8789676139559106,30.56953730111428,6.407501601095757,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
36,209.23681723586137,-6.942145145778012,0.2778937578586437,Small,MixedBreccia,crater_ejecta_clump,Rim,Rim,16,0.9887929926012257,0.9887929926012257,34.38914448094759,6.407501601095757,0.003,1.0,4,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
37,210.4459192870216,-4.949831556059366,0.2686047267146289,Small,MixedBreccia,crater_ejecta_clump,Rim,Rim,16,0.9235851564469016,0.9235851564469016,32.12128688529272,6.407501601095757,0.003,1.0,4,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
38,211.70715015843976,-3.1410451389956897,0.29505346461798754,Small,MixedBreccia,crater_ejecta_clump,Rim,Rim,16,0.8632986561470531,0.8632986561470531,30.024587996268238,6.407501601095757,0.003,1.0,4,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
39,210.17826965635848,-3.0083804179272486,0.2720153472508803,Small,MixedBreccia,crater_ejecta_clump,Rim,Rim,16,0.8729793067651197,0.8729793067651197,30.36127049226619,6.407501601095757,0.003,1.0,4,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
40,210.60746544712546,-2.447136520260454,0.2772215242701557,Small,MixedBreccia,crater_ejecta_clump,Rim,Rim,16,0.8537217427814973,0.8537217427814973,29.691513369047005,6.407501601095757,0.003,1.0,4,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
41,202.91459123441805,-12.727793989202919,0.2730296208904859,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,16,1.209974049365398,1.209974049365398,42.08158099134603,2.5639580768325483,0.003,1.0,5,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
42,201.8506712150182,-9.797040645164987,0.2799305278749028,Small,MixedBreccia,crater_ejecta_clump,Rim,Rim,16,1.14721978280821,1.14721978280821,39.899055876808355,6.407501601095757,0.003,1.0,5,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
43,200.4092714645285,-14.34877604247569,0.2914878792100405,Small,MixedBreccia,crater_ejecta_clump,ProximalEjecta,ProximalEjecta,16,1.282773555598986,1.282773555598986,44.61346861265945,2.472308761014328,0.003,1.0,5,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
